MJD & Phase & Instrument & Telescope & Filter & AB Mag & 1sig Error & DMag & Ref & Note \\
57984.761 & 2.232 & Sinistro & LCO 1m & g & 19.80 & 0.20 & -1.44 & \citeauthor{arcavi2017optical}&*\\
57984.761 & 2.232 & Sinistro & LCO 1m & w & 19.11 & 0.06 & 0 & \citeauthor{arcavi2017optical}&X\\
57984.761 & 2.232 & GFC & Pan-STARRS & r & 18.80 & 0.07 & 0 & \citeauthor{smartt2017kilonova}&*\\
57984.883 & 2.354 & UVOT & Swift & U & $>$20.41 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.885 & 2.356 & UVOT & Swift & B & $>$19.31 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.890 & 2.361 & UVOT & Swift & W2 & $>$22.16 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.895 & 2.366 & UVOT & Swift & V & $>$18.72 & - & 0 & \citeauthor{evans2017swift}&*\\
57984.960 & 2.431 & ROS2 & REM & I & 18.35 & 0.10 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57984.960 & 2.431 & ROS2 & REM & g & 20.31 & 0.28 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57984.960 & 2.431 & ROS2 & REM & r & 19.18 & 0.10 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57984.962 & 2.433 & FourStar & Magellan & Ks & 17.55 & 0.06 & 0 & \citeauthor{drout2017light}&*\\
57984.963 & 2.433 & FourStar & Magellan & J & 17.55 & 0.01 & 0 & \citeauthor{drout2017light}&*\\
57984.968 & 2.439 & FLAMINGOS-2 & Gemini-S & H & 17.71 & 0.09 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.968 & 2.439 & Sinistro & LCO 1m & r & 19.10 & 0.11 & -0.11 & \citeauthor{arcavi2017optical}&*\\
57984.969 & 2.440 & GROND & LaSilla & H & 17.64 & 0.08 &  0 &\citeauthor{smartt2017kilonova}&*\\
57984.969 & 2.440 & GROND & LaSilla & J & 17.73 & 0.09 &  0 &\citeauthor{smartt2017kilonova}&*\\
57984.969 & 2.440 & GROND & LaSilla & K & 17.66 & 0.10 &  -0.24 &\citeauthor{smartt2017kilonova}&*\\
57984.969 & 2.440 & GROND & LaSilla & g & 20.19 & 0.11 &  0 &\citeauthor{smartt2017kilonova}&*\\
57984.969 & 2.440 & GROND & LaSilla & i & 18.58 & 0.04 &  0 &\citeauthor{smartt2017kilonova}&*\\
57984.969 & 2.440 & GROND & LaSilla & r & 19.13 & 0.17 &  0 &\citeauthor{smartt2017kilonova}&*\\
57984.969 & 2.440 & GROND & LaSilla & z & 18.33 & 0.06 &  0 &\citeauthor{smartt2017kilonova}&*\\
57984.969 & 2.440 & FORS & VLT & r & 18.77 & 0.04 &  0 &\citeauthor{tanvir2017emergence}&*\\
57984.971 & 2.442 & FourStar & Magellan & H & 17.57 & 0.01 &  0 &\citeauthor{drout2017light}&*\\
57984.971 & 2.442 & EFOSC2 & NTT & V & 19.40 & 0.11 &  0 &\citeauthor{drout2017light}&*\\
57984.975 & 2.446 & DECam & Blanco/CTIO & Y & 17.77 & 0.03 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.975 & 2.446 & Sinistro & LCO 1m & i & 18.61 & 0.15 & -0.56 & \citeauthor{arcavi2017optical}&*\\
57984.976 & 2.447 & DECam & Blanco/CTIO & z & 18.18 & 0.03 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.976 & 2.447 &  Alta U47+ & Prompt5 & r & 19.34 & 0.08 &  0 &\citeauthor{valenti2017discovery}&*\\
57984.976 & 2.447 & DECam & Blanco/CTIO & i & 18.38 & 0.03 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.977 & 2.448 & DECam & Blanco/CTIO & r & 19.03 & 0.03 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.978 & 2.449 & DECam & Blanco/CTIO & g & 20.21 & 0.05 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.978 & 2.449 & Sinistro & LCO 1m & i & 18.46 & 0.10 & -0.47 & \citeauthor{arcavi2017optical}&*\\
57984.978 & 2.449 &  Alta U47+ & Prompt5 & r & 19.29 & 0.12 &  0 &\citeauthor{valenti2017discovery}&*\\
57984.979 & 2.450 &  -  & KMTNet/CTIO & B & 20.82 & 0.10 &  0 &\citeauthor{troja2017x}&*\\
57984.979 & 2.450 &  -  & KMTNet/CTIO & R & 18.81 & 0.05 &  0 &\citeauthor{troja2017x}&*\\
57984.979 & 2.450 &  -  & KMTNet/CTIO & V & 19.51 & 0.05 &  0 &\citeauthor{troja2017x}&*\\
57984.979 & 2.450 & VIRCAM & VISTA & Ks & 17.67 & 0.03 &  0 &\citeauthor{tanvir2017emergence}&*\\
57984.980 & 2.451 &  -  & RC-1000 & r & 19.12 & 0.06 &  0 &\citeauthor{pozanenko2017grb170817a}&*\\
57984.980 & 2.451 & DECam & Blanco/CTIO & u & 22.26 & 0.16 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57984.980 & 2.451 & FourStar & Magellan & J1 & 17.52 & 0.01 &  0 &\citeauthor{drout2017light}&*\\
57984.980 & 2.451 &  MASTER  & OAFA & W & 18.80 & 0.20 &  0 &\citeauthor{lipunov2017master}&*\\
57984.982 & 2.453 & Sinistro & LCO 1m & z & 18.19 & 0.20 &  -0.54 &\citeauthor{arcavi2017optical}&*\\
57984.985 & 2.456 &  T80Cam  & T80S & r & 18.78 & 0.03 &  0 &\citeauthor{diaz2017observations}&*\\
57984.985 & 2.456 &  T80Cam & T80S & r & 19.15 & 0.06 &  0 &\citeauthor{diaz2017observations}&*\\
57984.988 & 2.459 & DK1.5 & VLT & i & 18.37 & 0.03 &  0 &\citeauthor{tanvir2017emergence}&*\\
57984.988 & 2.459 & Sinistro & LCO 1m & w & 19.56 & 0.07 &  0 &\citeauthor{arcavi2017optical}&X\\
57984.989 & 2.460 &  -  & KMTNet/CTIO & I & 18.40 & 0.13 &  0 &\citeauthor{troja2017x}&*\\
57984.989 & 2.460 & VIRCAM & VISTA & J & 17.66 & 0.02 &  0 &\citeauthor{tanvir2017emergence}&*\\
57984.990 & 2.461 & DK1.5 & DK1.5 & z & 18.01 & 0.13 &  0 &\citeauthor{tanvir2017emergence}&*\\
57984.992 & 2.463 & Sinistro & LCO 1m & w & 19.48 & 0.07 &  0 &\citeauthor{arcavi2017optical}&X\\
57984.999 & 2.470 & VIRCAM & VISTA & Y & 17.51 & 0.02 &  0 &\citeauthor{tanvir2017emergence}&*\\
57985.000 & 2.471 & IMACS & Magellan & V & 19.51 & 0.08 &  0 &\citeauthor{ShappeeSpectra}&*\\
57985.000 & 2.471 & IMACS & Magellan & i & 18.36 & 0.02 &  0 &\citeauthor{ShappeeSpectra}&*\\
57985.002 & 2.473 & Sinistro & LCO 1m & i & 18.46 & 0.10 &  -0.46 &\citeauthor{arcavi2017optical}&*\\
57985.006 & 2.477 & Sinistro & LCO 1m & i & 18.45 & 0.11 &  -0.46 &\citeauthor{arcavi2017optical}&*\\
57985.008 & 2.479 & 1k2k CCD & VIRT & C & 18.90 & 0.28 & 0.0 & \citeauthor{andreoni2017}&X\\
57985.009 & 2.480 & IMACS & Magellan & r & 18.93 & 0.02 &  0 &\citeauthor{drout2017light}&*\\
57985.010 & 2.481 & Sinistro & LCO 1m & V & 19.33 & 0.18 &  0 &\citeauthor{arcavi2017optical}&*\\
57985.016 & 2.487 & Sinistro & LCO 1m & w & 19.46 & 0.06 &  0 &\citeauthor{arcavi2017optical}&X\\
57985.016 & 2.487 & EFOSC2 & NTT & V & 19.53 & 0.12 &  0 &\citeauthor{drout2017light}&*\\
57985.017 & 2.488 & Sinistro & LCO 1m & g & 20.15 & 0.33 &  -0.66 &\citeauthor{arcavi2017optical}&*\\
57985.019 & 2.490 & FLAMINGOS-2 & Gemini-S & J & 17.76 & 0.02 &  0 &\citeauthor{kasliwal2017illuminating}&*\\
57985.019 & 2.490 & FLAMINGOS-2 & Gemini-S & Ks & 17.60 & 0.04 &  0 &\citeauthor{kasliwal2017illuminating}&*\\
57985.019 & 2.490 & Sinistro & LCO 1m & w & 19.36 & 0.05 &  0 &\citeauthor{arcavi2017optical}&X\\
57985.054 & 2.525 & EFOSC2 & NTT & V & 19.59 & 0.20 &  0 &\citeauthor{drout2017light}&*\\
57985.054 & 2.525 & EFOSC2 & NTT & U & $>$20.19 & - &  0 &\citeauthor{drout2017light}&R\\
57985.055 & 2.526 & EFOSC2 & NTT & U & $>$19.60 & - &  0 &\citeauthor{smartt2017kilonova}&R\\
57985.055 & 2.526 & EFOSC2 & NTT & U & $>$19.90 & - &  0 &this paper&*,A\\
57985.184 & 2.655 & UVOT & Swift & B & 19.93 & 0.10 &  0 &\citeauthor{evans2017swift}&*,O\\
57985.189 & 2.660 & UVOT & Swift & W2 & $>$22.21 & - &  0 &\citeauthor{evans2017swift}&*\\
57985.194 & 2.665 & UVOT & Swift & V & $>$18.67 & - &  0 &\citeauthor{evans2017swift}&*\\
57985.231 & 2.702 & GFC & Pan-STARRS & i & 18.44 & 0.09 &  0 &\citeauthor{smartt2017kilonova}&*\\
57985.231 & 2.702 & GFC & Pan-STARRS & y & 18.08 & 0.11 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.231 & 2.702 & GFC & Pan-STARRS & z & 18.31 & 0.07 &  0 &\citeauthor{smartt2017kilonova}&*\\
57985.357 & 2.828 & Sinistro & LCO 1m & r & 19.36 & 0.09 &  -0.15 &\citeauthor{arcavi2017optical}&*\\
57985.359 & 2.830 &  -  & KMTNet-SSO & I & 18.62 & 0.10 & 0 & \citeauthor{troja2017x}&*\\
57985.359 & 2.830 &  -  & KMTNet-SSO & R & 19.10 & 0.05 & 0 & \citeauthor{troja2017x}&*\\
57985.364 & 2.835 & Sinistro & LCO 1m & i & 18.53 & 0.13 & -0.50 & \citeauthor{arcavi2017optical}&*\\
57985.367 & 2.838 & Sinistro & LCO 1m & i & 18.62 & 0.14 & -0.57 & \citeauthor{arcavi2017optical}&*\\
57985.377 & 2.848 & Sinistro & LCO 1m & w & 19.68 & 0.05 & 0 & \citeauthor{arcavi2017optical}&X\\
57985.381 & 2.852 & Sinistro & LCO 1m & w & 19.61 & 0.05 & 0 & \citeauthor{arcavi2017optical}&X\\
57985.384 & 2.855 & Skymapper & Skymapper & r & 19.34 & 0.08 & 0 & \citeauthor{andreoni2017}&*\\
57984.385 & 2.856 & Skymapper & Skymapper & g & 20.43 & 0.11 & 0 & \citeauthor{andreoni2017}&*\\
57985.385 & 2.856 & Sinistro & LCO 1m & V & 19.77 & 0.20 & 0 & \citeauthor{arcavi2017optical}&*\\
57985.391 & 2.862 & Sinistro & LCO 1m & i & 18.70 & 0.18 & -0.63 & \citeauthor{arcavi2017optical}&*\\
57985.395 & 2.866 & Sinistro & LCO 1m & i & 18.63 & 0.15 & -0.57 & \citeauthor{arcavi2017optical}&*\\
57985.397 & 2.868 & Skymapper & Skymapper & r & 19.37 & 0.09 & 0 & \citeauthor{andreoni2017}&*\\
57985.398 & 2.869 & Skymapper & Skymapper & g & 20.21 & 0.12 & 0 & \citeauthor{andreoni2017}&*\\
57985.405 & 2.876 & Sinistro & LCO 1m & w & 19.53 & 0.07 & 0 & \citeauthor{arcavi2017optical}&X\\
57985.408 & 2.879 & Sinistro & LCO 1m & w & 19.56 & 0.08 & 0 & \citeauthor{arcavi2017optical}&X\\
57985.479 & 2.950 & zadko & zadko & r & 19.18 & 0.12 & 0 & \citeauthor{andreoni2017}&*\\
57985.531 & 3.002 & UVOT & Swift & V & $>$18.72 & - & 0 & \citeauthor{evans2017swift}&*\\
57985.550 & 3.021 & UVOT & Swift & W1 & $>$22.05 & - & 0 & \citeauthor{evans2017swift}&*\\
57985.554 & 3.025 & UVOT & Swift & B & $>$19.71 & - & 0 & \citeauthor{evans2017swift}&*\\
57985.558 & 3.029 & UVOT & Swift & W2 & $>$22.42 & - & 0 & \citeauthor{evans2017swift}&*\\
57985.672 & 3.143 & 10k10k ccd & AST3-2 & i & $>$18.67 & - &  0 &\citeauthor{hu2017optical}&*\\
57985.699 & 3.170 & SIRIUS & IRSF & H & 17.57 & 0.04 & 0 & \citeauthor{utsumi2017j}&*\\
57985.699 & 3.170 & SIRIUS & IRSF & J & 17.78 & 0.05 & 0 & \citeauthor{utsumi2017j}&*\\
57985.699 & 3.170 & SIRIUS & IRSF & Ks & 17.55 & 0.05 & 0 & \citeauthor{utsumi2017j}&*\\
57985.715 & 3.186 &  MASTER & SAAO & W & $>$19.10 & - & 0 & \citeauthor{lipunov2017master}&*\\
57985.719 & 3.190 &  -  & KMTNet-SAAO & I & 18.73 & 0.11 & 0 & \citeauthor{troja2017x}&*\\
57985.719 & 3.190 &  -  & KMTNet-SAAO & R & 19.30 & 0.05 & 0 & \citeauthor{troja2017x}&*\\
57985.726 & 3.197 & Sinistro & LCO 1m & r & 19.75 & 0.12 & -0.22 & \citeauthor{arcavi2017optical}&*\\
57985.730 & 3.201 &  MASTER & SAAO & R & $>$18.60 & - & 0 & \citeauthor{lipunov2017master}&*\\
57985.733 & 3.204 & Sinistro & LCO 1m & i & 18.84 & 0.20 & -0.57 & \citeauthor{arcavi2017optical}&*\\
57985.736 & 3.207 & Sinistro & LCO 1m & i & 18.76 & 0.15 & -0.68 & \citeauthor{arcavi2017optical}&*\\
57985.738 & 3.209 &  MASTER  & SAAO & B & $>$19.30 & - &  0 &\citeauthor{lipunov2017master}&*\\
57985.740 & 3.211 & Sinistro & LCO 1m & z & 18.42 & 0.34 & -0.72 & \citeauthor{arcavi2017optical}&*\\
57985.743 & 3.214 & Sinistro & LCO 1m & V & 19.89 & 0.19 & 0 & \citeauthor{arcavi2017optical}&*\\
57985.746 & 3.217 & Sinistro & LCO 1m & w & 20.13 & 0.13 & 0 & \citeauthor{arcavi2017optical}&X\\
57985.750 & 3.221 & Sinistro & LCO 1m & w & 19.99 & 0.06 & 0 & \citeauthor{arcavi2017optical}&X\\
57985.776 & 3.247 &  -  & 1.5B & r & 19.52 & 0.13 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.969 & 3.440 & EFOSC2 & NTT & V & 20.54 & 0.20 & 0 & \citeauthor{drout2017light}&*\\
57985.973 & 3.444 & FourStar & Magellan & J & 17.85 & 0.01 & 0 & \citeauthor{drout2017light}&*\\
57985.973 & 3.444 &  -  & RC-1000 & r & 20.04 & 0.08 & 0 & \citeauthor{pozanenko2017grb170817a}&*\\
57985.974 & 3.445 & GROND & LaSilla & H & 17.72 & 0.07 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.974 & 3.445 & GROND & LaSilla & J & 17.95 & 0.07 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.974 & 3.445 & GROND & LaSilla & K & 17.63 & 0.10 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.974 & 3.445 & GROND & LaSilla & g & 21.13 & 0.16 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.974 & 3.445 & GROND & LaSilla & i & 19.03 & 0.01 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.974 & 3.445 & GROND & LaSilla & r & 19.81 & 0.02 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.974 & 3.445 & GROND & LaSilla & z & 18.74 & 0.02 & 0 & \citeauthor{smartt2017kilonova}&*\\
57985.979 & 3.450 &  -  & KMTNet/CTIO & I & 18.87 & 0.11 & 0 & \citeauthor{troja2017x}&*\\
57985.979 & 3.450 &  -  & KMTNet/CTIO & R & 19.54 & 0.06 & 0 & \citeauthor{troja2017x}&*\\
57985.979 & 3.450 & VIRCAM & VISTA & Ks & 17.54 & 0.02 & 0 & \citeauthor{tanvir2017emergence}&*\\
57985.979 & 3.450 & FORS & VLT & r & 19.28 & 0.01 & 0 & \citeauthor{tanvir2017emergence}&*\\
57985.983 & 3.454 & DECam & Blanco/CTIO & Y & 18.05 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57985.984 & 3.455 & DECam & Blanco/CTIO & z & 18.56 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57985.984 & 3.455 & DECam & Blanco/CTIO & u & 23.06 & 0.32 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57985.984 & 3.455 & DECam & Blanco/CTIO & i & 18.73 & 0.03 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57985.985 & 3.456 & DECam & Blanco/CTIO & r & 19.29 & 0.04 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57985.986 & 3.457 & DECam & Blanco/CTIO & g & 20.93 & 0.08 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57985.989 & 3.460 & VIRCAM & VISTA & Y & 17.76 & 0.01 & 0 & \citeauthor{tanvir2017emergence}&*\\
57985.989 & 3.460 & VIRCAM & VISTA & J & 17.86 & 0.02 &  0 &\citeauthor{tanvir2017emergence}&*\\
57985.989 & 3.460 &  E2V 4kx4k ccd & Swope & V & 20.52 & 0.12 & 0 & \citeauthor{SwopeDiscovery}&*\\
57985.995 & 3.466 &  E2V 4kx4k ccd & Swope & B & 21.72 & 0.13 & 0 & \citeauthor{SwopeDiscovery}&*\\
57986.000 & 3.471 & LDSS & Magellan & z & 18.38 & 0.05 & 0 & \citeauthor{ShappeeSpectra}&*\\
57986.001 & 3.472 &  E2V 4kx4k ccd & Swope & g & 20.77 & 0.05 & 0 & \citeauthor{SwopeDiscovery}&*\\
57986.003 & 3.474 &  Alta U47+ & Prompt5 & r & 20.18 & 0.10 & 0 & \citeauthor{valenti2017discovery}&*\\
57986.005 & 3.476 &  E2V 4kx4k ccd & Swope & i & 18.92 & 0.05 & 0 & \citeauthor{SwopeDiscovery}&*\\
57986.008 & 3.479 &  E2V 4kx4k ccd & Swope & r & 19.82 & 0.09 & 0 & \citeauthor{SwopeDiscovery}&*\\
57986.016 & 3.487 & EFOSC2 & NTT & V & 20.55 & 0.15 & 0 & \citeauthor{drout2017light}&*\\
57986.020 & 3.491 & XS & VLT & g & 20.94 & 0.06 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57986.020 & 3.491 & XS & VLT & r & 19.74 & 0.02 &  0 &\citeauthor{pian2017spectroscopic}&*\\
57986.020 & 3.491 & XS & VLT & z & 18.30 & 0.02 &  0 &\citeauthor{pian2017spectroscopic}&*\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & H & 17.72 & 0.04 & 0 & \citeauthor{kasliwal2017illuminating}&R\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & H & 17.69 & 0.02 & 0 & \citeauthor{troja2017x}&R\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & H & 17.70 & 0.02 & 0 & this paper &*,A\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & J & 17.93 & 0.06 & 0 & \citeauthor{kasliwal2017illuminating}&R\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & J & 17.94 & 0.02 & 0 & \citeauthor{troja2017x}&R\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & J & 17.94 & 0.02 & 0 & this paper &*,A\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & Ks & 17.61 & 0.06 &  0 &\citeauthor{kasliwal2017illuminating}&R\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & Ks & 17.62 & 0.02 &  0 &\citeauthor{troja2017x}&R\\
57986.029 & 3.500 & FLAMINGOS-2 & Gemini-S & Ks & 17.61 & 0.02 &  0 & this paper &*,A\\
57986.031 & 3.502 &  MASTER  & OAFA & W & $>$19.80 & - & 0 & \citeauthor{lipunov2017master}&*\\
57986.039 & 3.510 & GMOS & Gemini-S & g & 20.90 & 0.01 & 0 & \citeauthor{troja2017x}&*\\
57986.039 & 3.510 & GMOS & Gemini-S & i & 18.93 & 0.01 & 0 & \citeauthor{troja2017x}&*\\
57986.039 & 3.510 & GMOS & Gemini-S & r & 19.66 & 0.01 & 0 & \citeauthor{troja2017x}&*\\
57986.049 & 3.520 & GMOS & Gemini-S & z & 18.46 & 0.01 & 0 & \citeauthor{troja2017x}&*\\
57986.053 & 3.524 & EFOSC2 & NTT & V & 20.68 & 0.31 & 0 & \citeauthor{drout2017light}&*\\
57986.180 & 3.651 & UVOT & Swift & B & $>$19.37 & - & 0 & \citeauthor{evans2017swift}&*\\
57986.191 & 3.662 & UVOT & Swift & V & $>$18.95 & - & 0 & \citeauthor{evans2017swift}&*\\
57986.236 & 3.707 & GFC & Pan-STARRS & i & $>$17.80 & - &  0 &\citeauthor{smartt2017kilonova}&*\\
57986.236 & 3.707 & GFC & Pan-STARRS & y & $>$17.70 & - &  0 &\citeauthor{smartt2017kilonova}&*\\
57986.236 & 3.707 & GFC & Pan-STARRS & z & 18.10 & 0.30 & 0 & \citeauthor{smartt2017kilonova}&*,O\\
57986.359 & 3.830 &  -  & KMTNet-SSO & I & 19.00 & 0.10 &  0 &\citeauthor{troja2017x}&*\\
57986.359 & 3.830 &  -  & KMTNet-SSO & R & 19.64 & 0.09 & 0 & \citeauthor{troja2017x}&*\\
57986.494 & 3.965 & zadko & zadko & r & 19.86 & 0.21 & 0.0 & \citeauthor{andreoni2017}&*\\
57986.651 & 4.122 & 10k10k ccd & AST3-2 & i & $>$18.38 & - &  0 &\citeauthor{hu2017optical}&*\\
57986.709 & 4.180 & SIRIUS & IRSF & H & 17.77 & 0.04 &  0 &\citeauthor{utsumi2017j}&*\\
57986.709 & 4.180 & SIRIUS & IRSF & J & 18.13 & 0.12 &  0 &\citeauthor{utsumi2017j}&*\\
57986.709 & 4.180 & SIRIUS & IRSF & Ks & 17.57 & 0.07 & 0 & \citeauthor{utsumi2017j}&*\\
57986.715 & 4.186 & Sinistro & LCO 1m & r & 20.30 & 0.31 & -0.39 & \citeauthor{arcavi2017optical}&*\\
57986.718 & 4.189 &  MASTER  & SAAO & W & $>$20.00 & - &  0 &\citeauthor{lipunov2017master}&*\\
57986.719 & 4.190 &  -  & KMTNet-SAAO & I & 19.23 & 0.10 &  0 &\citeauthor{troja2017x}&*\\
57986.719 & 4.190 &  -  & KMTNet-SAAO & R & 19.94 & 0.06 & 0 & \citeauthor{troja2017x}&*\\
57986.758 & 4.229 &  MASTER  & SAAO & R & $>$19.50 & - & 0 & \citeauthor{lipunov2017master}&*\\
57986.810 & 4.281 &  MASTER & SAAO & B & $>$19.00 & - & 0 & \citeauthor{lipunov2017master}&*\\
57986.969 & 4.440 &  -  & KMTNet/CTIO & I & 19.22 & 0.10 & 0 & \citeauthor{troja2017x}&*\\
57986.969 & 4.440 &  -  & KMTNet/CTIO & R & 20.12 & 0.08 & 0 & \citeauthor{troja2017x}&*\\
57986.969 & 4.440 & Sinistro & LCO 1m & r & 20.25 & 0.28 & -0.37 & \citeauthor{arcavi2017optical}&*\\
57986.970 & 4.441 & FORS2 & VLT & R & 20.24 & 0.06 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57986.973 & 4.444 & FLAMINGOS-2 & Gemini-S & H & 17.92 & 0.10 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57986.974 & 4.445 & GROND & LaSilla & H & 18.02 & 0.10 & 0 & \citeauthor{smartt2017kilonova}&*\\
57986.974 & 4.445 & GROND & LaSilla & J & 18.17 & 0.07 & 0 & \citeauthor{smartt2017kilonova}&*\\
57986.974 & 4.445 & GROND & LaSilla & K & 17.53 & 0.11 & -0.21 & \citeauthor{smartt2017kilonova}&*\\
57986.974 & 4.445 & GROND & LaSilla & g & 21.58 & 0.22 & 0 & \citeauthor{smartt2017kilonova}&*\\
57986.974 & 4.445 & GROND & LaSilla & i & 19.51 & 0.04 & 0 & \citeauthor{smartt2017kilonova}&*\\
57986.974 & 4.445 & GROND & LaSilla & r & 20.53 & 0.05 & 0 & \citeauthor{smartt2017kilonova}&*\\
57986.974 & 4.445 & GROND & LaSilla & z & 19.07 & 0.06 & 0 & \citeauthor{smartt2017kilonova}&*\\
57986.975 & 4.446 & DECam & Blanco/CTIO & Y & 18.35 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57986.978 & 4.449 & DECam & Blanco/CTIO & z & 18.81 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57986.979 & 4.450 & VIRCAM & VISTA & Ks & 17.60 & 0.02 & 0 & \citeauthor{tanvir2017emergence}&*\\
57986.980 & 4.451 & VIMOS & VLT & z & 18.73 & 0.01 & 0 & \citeauthor{tanvir2017emergence}&*\\
57986.980 & 4.451 & DECam & Blanco/CTIO & i & 19.22 & 0.03 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57986.981 & 4.452 &  -  & RC-1000 & R & 20.14 & 0.12 & 0 & \citeauthor{pozanenko2017grb170817a}&*\\
57986.984 & 4.455 & DECam & Blanco/CTIO & r & 20.25 & 0.05 & 0 & \citeauthor{cowperthwaite2017electromagnetic}&*\\
57986.988 & 4.459 &  E2V 4kx4k ccd & Swope & i & 19.39 & 0.04 & 0 & \citeauthor{SwopeDiscovery}&*\\
57986.989 & 4.460 & VIRCAM & VISTA & Y & 18.07 & 0.02 &  0 &\citeauthor{tanvir2017emergence}&*\\
57986.989 & 4.460 & VIRCAM & VISTA & J & 18.08 & 0.03 &  0 &\citeauthor{tanvir2017emergence}&*\\
57986.989 & 4.460 & VIMOS & VLT & r & 19.86 & 0.01 & 0 & \citeauthor{tanvir2017emergence}&*,O\\
57986.991 & 4.462 & DECam & Blanco/CTIO & g & 21.73 & 0.11 &  0 &\citeauthor{cowperthwaite2017electromagnetic}&*\\
57986.992 & 4.463 & Sinistro & LCO 1m & w & 20.64 & 0.09 & 0 & \citeauthor{arcavi2017optical}&X\\
57986.997 & 4.467 &  E2V 4kx4k ccd & Swope & r & 20.58 & 0.12 & 0 & \citeauthor{SwopeDiscovery}&*\\
57987.000 & 4.471 & LDSS & Magellan & V & 21.85 & 0.22 & 0 & \citeauthor{ShappeeSpectra}&*,O\\
57987.000 & 4.471 & FORS2 & VLT & z & 18.93 & 0.03 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57987.004 & 4.475 &  Alta U47+ & Prompt5 & r & 20.92 & 0.12 &  0 &\citeauthor{valenti2017discovery}&*,O\\
57987.004 & 4.475 &  E2V 4kx4k ccd & Swope & g & 21.75 & 0.10 & 0 & \citeauthor{SwopeDiscovery}&*\\
57987.010 & 4.481 & FORS2 & VLT & I & 19.28 & 0.06 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57987.019 & 4.490 & LDSS & Magellan & g & 21.78 & 0.06 & 0 & \citeauthor{drout2017light}&*\\
57987.020 & 4.491 & FORS2 & VLT & B & 22.73 & 0.13 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57987.020 & 4.491 & FORS2 & VLT & V & 21.08 & 0.05 & 0 & \citeauthor{pian2017spectroscopic}&*\\
57987.022 & 4.493 & LDSS & Magellan & B & 22.52 & 0.14 &  0 &\citeauthor{drout2017light}&*\\
57987.039 & 4.510 & FLAMINGOS-2 & Gemini-S & Ks & 17.72 & 0.09 & 0 & \citeauthor{kasliwal2017illuminating}&*\\
57987.049 & 4.520 & FLAMINGOS-2 & Gemini-S & H & 18.02 & 0.07 & 0 & \citeauthor{kasliwal2017illuminating}&*\\
57987.049 & 4.520 & FLAMINGOS-2 & Gemini-S & J & 18.15 & 0.06 & 0 & \citeauthor{kasliwal2017illuminating}&*\\
57987.236 & 4.707 & GFC & Pan-STARRS & z & $>$18.80 & - & 0 & \citeauthor{smartt2017kilonova}&*\\
57987.319 & 4.790 & WFC3/IR & HST & F110W & 18.26 & 0.01 &  0 &\citeauthor{tanvir2017emergence}&R\\
