MJD & Phase & Instrument & Telescope & Filter & AB Mag & 1sig Error & DMag & Ref & Note \\
57983.699 & 1.170 & SIRIUS & IRSF & J & 17.51 & 0.03 &  0 &\citeauthor{utsumi2017j}&*\\
57983.699 & 1.170 & SIRIUS & IRSF & Ks & 17.91 & 0.05 &  0 &\citeauthor{utsumi2017j}&*\\
57983.717 & 1.188 &  MASTER  & SAAO & W & 17.30 & 0.20 &  0 &\citeauthor{lipunov2017master}&*\\
57983.719 & 1.190 &  -  & KMTNet-SAAO & B & 18.47 & 0.11 &  0 &\citeauthor{troja2017x}&*\\
57983.719 & 1.190 &  -  & KMTNet-SAAO & I & 17.58 & 0.10 &  0 &\citeauthor{troja2017x}&*\\
57983.719 & 1.190 &  -  & KMTNet-SAAO & R & 17.65 & 0.05 & 0 & \citeauthor{troja2017x}&*\\
57983.719 & 1.190 &  -  & KMTNet-SAAO & V & 17.81 & 0.04 &  0 &\citeauthor{troja2017x}&*\\
57983.726 & 1.197 &  MASTER  & SAAO & R & 17.00 & 0.20 & 0 & \citeauthor{lipunov2017master}&*,O\\
57983.733 & 1.204 & Sinistro & LCO 1m & w & 17.95 & 0.04 &  0 &\citeauthor{arcavi2017optical}&X\\
57983.736 & 1.207 &  MASTER  & SAAO & B & 18.10 & 0.10 &  0 &\citeauthor{lipunov2017master}&*\\
57983.741 & 1.212 & Sinistro & LCO 1m & r & 17.75 & 0.02 & -0.03 & \citeauthor{arcavi2017optical}&*\\
57983.745 & 1.216 & Sinistro & LCO 1m & g & 18.05 & 0.12 & -0.07 & \citeauthor{arcavi2017optical}&*\\
57983.758 & 1.229 &  -  & 1.5B & r & 17.89 & 0.03 & 0 & \citeauthor{smartt2017kilonova}&*\\
57983.964 & 1.435 & EFOSC2 & NTT & V & 18.22 & 0.08 & 0 & \citeauthor{drout2017light}&*\\
57983.968 & 1.439 &  T80Cam  & T80S & g & 18.43 & 0.06 &  0 & \citeauthor{evans2017swift}&*\\
57983.968 & 1.439 & Sinistro & LCO 1m & w & 18.23 & 0.04 &  0 &\citeauthor{arcavi2017optical}&X\\
57983.969 & 1.440 & EFOSC2 & NTT & V & 18.16 & 0.05 & 0 & \citeauthor{drout2017light}&*\\
57983.969 & 1.440 & GROND & LaSilla & H & 17.64 & 0.08 & 0 & \citeauthor{smartt2017kilonova}&*\\
57983.969 & 1.440 & GROND & LaSilla & J & 17.58 & 0.07 & 0 & \citeauthor{smartt2017kilonova}&*\\
57983.969 & 1.440 & GROND & LaSilla & K & 17.85 & 0.15 & -0.29 & \citeauthor{smartt2017kilonova}&*\\
57983.969 & 1.440 & GROND & LaSilla & g & 18.49 & 0.04 & 0 & \citeauthor{smartt2017kilonova}&*\\
57983.969 & 1.440 & GROND & LaSilla & i & 17.85 & 0.05 & 0 & \citeauthor{smartt2017kilonova}&*\\
57983.969 & 1.440 & GROND & LaSilla & r & 17.99 & 0.01 & 0 & \citeauthor{smartt2017kilonova}&*\\
57983.969 & 1.440 & GROND & LaSilla & z & 17.72 & 0.03 & 0 & \citeauthor{smartt2017kilonova}&*\\
57983.969 & 1.440 & FORS & VLT & r & 17.69 & 0.02 &  0 &\citeauthor{tanvir2017emergence}&*\\
57983.970 & 1.441 & EFOSC2 & NTT & V & 18.13 & 0.08 &  0 &\citeauthor{drout2017light}&*\\
57983.972 & 1.443 & Sinistro & LCO 1m & i & 17.88 & 0.10 & -0.25 & \citeauthor{arcavi2017optical}&*\\
57983.974 & 1.445 &  T80Cam & T80S & g & 18.51 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
57983.975 & 1.446 &  T80Cam  & T80S & g & 18.48 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
57983.976 & 1.447 &  T80Cam  & T80S & g & 18.61 & 0.04 & 0 & \citeauthor{diaz2017observations}&*\\
