 ! Swift/XRT detailed lightcurve of trigger: 10724, name: AT2018cow
 ! Swift/XRT lightcurve of trigger: 10724, name: AT2018cow
 ! T0 for this burst is Swift MET=551097137.0 s, = 2018 Jun 19 at 10:31:55.845 UT
 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
269711.718	50.000	-50.000	1.793382e-01	4.687890e-02	-4.687890e-02	1.809604e-03	7.387676e-04	1.000000
269811.718	50.000	-50.000	3.473965e-01	6.492109e-02	-6.492109e-02	1.809604e-03	7.387676e-04	1.000000
269911.718	50.000	-50.000	3.869073e-01	6.859307e-02	-6.859307e-02	9.048018e-04	5.223875e-04	1.000000
270011.718	50.000	-50.000	3.121401e-01	6.172441e-02	-6.172441e-02	2.111204e-03	7.979602e-04	1.000000
270111.718	50.000	-50.000	2.661090e-01	5.697247e-02	-5.697247e-02	9.048018e-04	5.223875e-04	1.000000
270211.718	50.000	-50.000	3.030612e-01	6.083573e-02	-6.083573e-02	9.048018e-04	5.223875e-04	1.000000
270311.718	50.000	-50.000	2.480695e-01	6.082280e-02	-6.082280e-02	2.188327e-03	8.933806e-04	0.826935
281111.718	50.000	-50.000	2.326553e-01	5.537188e-02	-5.537188e-02	1.797230e-03	7.337160e-04	0.953312
281211.718	50.000	-50.000	2.247235e-01	5.179194e-02	-5.179194e-02	8.566600e-04	4.945929e-04	1.000000
281311.718	50.000	-50.000	2.936915e-01	5.914941e-02	-5.914941e-02	1.713320e-03	6.994599e-04	1.000000
281411.718	50.000	-50.000	2.465601e-01	5.410227e-02	-5.410227e-02	1.142213e-03	5.711066e-04	1.000000
281511.718	50.000	-50.000	2.116633e-01	5.021266e-02	-5.021266e-02	1.142213e-03	5.711066e-04	1.000000
281611.718	50.000	-50.000	1.989762e-01	4.875715e-02	-4.875715e-02	1.713320e-03	6.994599e-04	1.000000
281711.718	50.000	-50.000	1.633729e-01	4.856649e-02	-4.060399e-02	1.713320e-03	6.994599e-04	1.000000
281811.718	50.000	-50.000	1.976604e-01	4.877040e-02	-4.877040e-02	2.855533e-03	9.029989e-04	1.000000
281911.718	50.000	-50.000	2.114433e-01	5.016048e-02	-5.016048e-02	1.142213e-03	5.711066e-04	1.000000
282011.718	50.000	-50.000	2.344220e-01	5.280064e-02	-5.280064e-02	1.427767e-03	6.385166e-04	1.000000
282111.718	50.000	-50.000	1.646497e-01	4.865889e-02	-4.065952e-02	8.566600e-04	4.945929e-04	1.000000
282211.718	50.000	-50.000	4.001458e-01	6.891797e-02	-6.891797e-02	1.427767e-03	6.385166e-04	1.000000
282311.718	50.000	-50.000	3.169057e-01	6.131739e-02	-6.131739e-02	1.427767e-03	6.385166e-04	1.000000
282411.718	50.000	-50.000	2.133066e-01	9.277660e-02	-7.184679e-02	7.406879e-04	7.406879e-04	0.385524
314611.718	50.000	-50.000	2.161037e-01	5.140089e-02	-5.140089e-02	1.694720e-03	7.579020e-04	0.945347
314711.718	50.000	-50.000	2.610253e-01	6.185987e-02	-6.185987e-02	1.225019e-03	7.072652e-04	0.784689
314811.718	50.000	-50.000	3.923621e-01	6.853198e-02	-6.853198e-02	1.104754e-03	5.523771e-04	0.991138
314911.718	50.000	-50.000	2.078980e-01	4.945945e-02	-4.945945e-02	1.642445e-03	6.705254e-04	1.000000
315011.718	50.000	-50.000	2.441303e-01	5.355665e-02	-5.355665e-02	1.094963e-03	5.474817e-04	1.000000
315111.718	50.000	-50.000	1.858800e-01	4.695858e-02	-4.695858e-02	1.642445e-03	6.705254e-04	1.000000
315211.718	50.000	-50.000	1.634312e-01	4.847645e-02	-4.050708e-02	1.368704e-03	6.121032e-04	1.000000
315311.718	50.000	-50.000	2.108637e-01	5.000941e-02	-5.000941e-02	1.094963e-03	5.474817e-04	1.000000
315411.718	50.000	-50.000	2.473602e-01	5.440974e-02	-5.440974e-02	1.642445e-03	6.705254e-04	1.000000
315511.718	50.000	-50.000	2.213527e-01	5.168743e-02	-5.168743e-02	3.284890e-03	9.482661e-04	1.000000
315611.718	50.000	-50.000	2.115191e-01	5.008716e-02	-5.008716e-02	8.212226e-04	4.741331e-04	1.000000
315711.718	50.000	-50.000	1.504650e-01	8.011616e-02	-5.912104e-02	1.417743e-03	1.002495e-03	0.386164
